Insert your age,How would you rate your overall health?,Does your work require sitting or moving more ?,How often do you get around on foot or by bicycle? ,How would you rate the amount of stress in your life? 
30,3,Moderate (involves both sitting and moving),1-2 times a week,Medium
34,5,Moderate (involves both sitting and moving),Rarely,Low
26,4,Moderate (involves both sitting and moving),1-2 times a week,Medium
26,4,Moderate (involves both sitting and moving),1-2 times a week,Medium
22,5,Moderate (involves both sitting and moving),1-2 times a week,Medium
49,4,Moderate (involves both sitting and moving),1-2 times a week,Medium
30,4,Mostly sitting (Involves movement less than 30 minutes per week),Rarely,High
26,5,Moderate (involves both sitting and moving),1-2 times a week,Medium
24,4,Moderate (involves both sitting and moving),> 3 times a week,Medium
28,3,Moderate (involves both sitting and moving),1-2 times a week,Medium
28,4,Moderate (involves both sitting and moving),1-2 times a week,Medium
20,4,Mostly sitting (Involves movement less than 30 minutes per week),Most of the time,High
21,4,Mostly sitting (Involves movement less than 30 minutes per week),Most of the time,Medium
26,4,Moderate (involves both sitting and moving),1-2 times a week,Medium
27,4,Moderate (involves both sitting and moving),> 3 times a week,High
30,4,Moderate (involves both sitting and moving),> 3 times a week,Medium
27,4,Moderate (involves both sitting and moving),Most of the time,Medium
30,4,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
34,4,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
34,4,Moderate (involves both sitting and moving),Most of the time,Medium
23,4,Moderate (involves both sitting and moving),> 3 times a week,Medium
24,4,Moderate (involves both sitting and moving),Most of the time,Medium
24,3,Moderate (involves both sitting and moving),Most of the time,High
31,4,Moderate (involves both sitting and moving),Rarely,Medium
23,5,Moderate (involves both sitting and moving),Most of the time,High
19,5,Moderate (involves both sitting and moving),Most of the time,Low
24,4,Moderate (involves both sitting and moving),> 3 times a week,Medium
20,5,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
23,5,Moderate (involves both sitting and moving),> 3 times a week,Medium
29,4,Moderate (involves both sitting and moving),1-2 times a week,High
27,4,Moderate (involves both sitting and moving),1-2 times a week,High
34,4,Mostly sitting (Involves movement less than 30 minutes per week),Rarely,Medium
25,4,Moderate (involves both sitting and moving),1-2 times a week,Medium
26,4,Moderate (involves both sitting and moving),1-2 times a week,Medium
25,4,Moderate (involves both sitting and moving),Rarely,Low
27,3,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
26,4,Moderate (involves both sitting and moving),Most of the time,Medium
30,4,Moderate (involves both sitting and moving),1-2 times a week,High
20,5,Moderate (involves both sitting and moving),Most of the time,Medium
29,4,Moderate (involves both sitting and moving),1-2 times a week,Low
29,4,Moderate (involves both sitting and moving),1-2 times a week,Medium
37,4,Moderate (involves both sitting and moving),Most of the time,Medium
27,5,Moderate (involves both sitting and moving),> 3 times a week,Medium
27,4,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,Medium
26,4,Moderate (involves both sitting and moving),1-2 times a week,Low
28,5,Moderate (involves both sitting and moving),1-2 times a week,Low
31,3,Moderate (involves both sitting and moving),> 3 times a week,Medium
28,4,Moderate (involves both sitting and moving),Rarely,High
28,4,Moderate (involves both sitting and moving),Most of the time,High
29,5,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
24,4,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
23,5,Moderate (involves both sitting and moving),Most of the time,Medium
26,4,Moderate (involves both sitting and moving),> 3 times a week,Medium
26,4,Moderate (involves both sitting and moving),Most of the time,Medium
27,3,Moderate (involves both sitting and moving),> 3 times a week,Low
30,4,Moderate (involves both sitting and moving),> 3 times a week,High
16,5,Moderate (involves both sitting and moving),Most of the time,Medium
21,5,Mostly moving (Involves movement more than 3days per week),1-2 times a week,Low
24,4,Moderate (involves both sitting and moving),> 3 times a week,Low
24,5,Mostly moving (Involves movement more than 3days per week),> 3 times a week,Low
24,4,Moderate (involves both sitting and moving),1-2 times a week,Low
22,4,Moderate (involves both sitting and moving),1-2 times a week,High
25,5,Moderate (involves both sitting and moving),1-2 times a week,High
23,5,Moderate (involves both sitting and moving),1-2 times a week,Low
28,4,Moderate (involves both sitting and moving),1-2 times a week,Medium
24,4,Mostly sitting (Involves movement less than 30 minutes per week),Rarely,High
23,5,Mostly moving (Involves movement more than 3days per week),1-2 times a week,Low
35,4,Moderate (involves both sitting and moving),> 3 times a week,High
26,4,Moderate (involves both sitting and moving),Almost always,Medium
48,2,Moderate (involves both sitting and moving),Rarely,Medium
31,3,Moderate (involves both sitting and moving),Almost always,Medium
33,5,Moderate (involves both sitting and moving),Almost always,Low
24,3,Moderate (involves both sitting and moving),> 3 times a week,Medium
26,3,Moderate (involves both sitting and moving),> 3 times a week,High
54,5,Moderate (involves both sitting and moving),Less than once a week,Low
28,3,Mostly sitting (Involves movement less than 30 minutes per week),Less than once a week,High
25,5,Mostly moving (Involves movement more than 3days per week),1-2 times a week,Medium
21,4,Mostly moving (Involves movement more than 3days per week),Almost always,Low
20,4,Moderate (involves both sitting and moving),Almost always,Medium
29,3,Moderate (involves both sitting and moving),Almost always,Medium
53,4,Moderate (involves both sitting and moving),Almost always,Medium
23,5,Moderate (involves both sitting and moving),1-2 times a week,Medium
31,4,Moderate (involves both sitting and moving),1-2 times a week,Low
56,4,Moderate (involves both sitting and moving),1-2 times a week,High
32,3,Moderate (involves both sitting and moving),Less than once a week,Medium
32,4,Moderate (involves both sitting and moving),1-2 times a week,Medium
31,4,Mostly sitting (Involves movement less than 30 minutes per week),Rarely,Medium
32,4,Mostly sitting (Involves movement less than 30 minutes per week),Rarely,Low
32,4,Moderate (involves both sitting and moving),Less than once a week,Medium
23,5,Moderate (involves both sitting and moving),1-2 times a week,Medium
53,5,Mostly moving (Involves movement more than 3days per week),Less than once a week,Low
23,4,Moderate (involves both sitting and moving),> 3 times a week,High
23,4,Moderate (involves both sitting and moving),> 3 times a week,Medium
20,2,Moderate (involves both sitting and moving),1-2 times a week,Medium
22,4,Moderate (involves both sitting and moving),> 3 times a week,Medium
19,4,Moderate (involves both sitting and moving),> 3 times a week,High
20,3,Moderate (involves both sitting and moving),> 3 times a week,Medium
19,3,Moderate (involves both sitting and moving),Less than once a week,Low
18,5,Moderate (involves both sitting and moving),Almost always,High
19,5,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
10,5,Mostly moving (Involves movement more than 3days per week),Almost always,Low
25,4,Moderate (involves both sitting and moving),1-2 times a week,Low
22,5,Moderate (involves both sitting and moving),Almost always,Medium
23,5,Moderate (involves both sitting and moving),> 3 times a week,Medium
20,3,Moderate (involves both sitting and moving),Less than once a week,High
19,5,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,Medium
22,2,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,High
20,4,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,High
21,4,Moderate (involves both sitting and moving),Almost always,Medium
21,4,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,High
20,5,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
22,5,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,High
22,4,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
24,4,Mostly moving (Involves movement more than 3days per week),Almost always,Low
23,4,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
21,4,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
20,4,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,Medium
20,4,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,Medium
20,4,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,Medium
30,5,Moderate (involves both sitting and moving),Rarely,Medium
34,4,Mostly sitting (Involves movement less than 30 minutes per week),Rarely,High
28,5,Moderate (involves both sitting and moving),> 3 times a week,Medium
20,4,Moderate (involves both sitting and moving),Rarely,Medium
23,4,Mostly moving (Involves movement more than 3days per week),Most of the time,Medium
25,4,Moderate (involves both sitting and moving),> 3 times a week,High
20,3,Moderate (involves both sitting and moving),> 3 times a week,High